year,version,statefips,countyfips,geocat,agecat,racecat,sexcat,iprcat,NIPR,nipr_moe,NUI,nui_moe,NIC,nic_moe,PCTUI,pctui_moe,PCTIC,pctic_moe,PCTELIG,pctelig_moe,PCTLIIC,pctliic_moe,state_name,county_name,expansion_group,treated,post,treat_post
2023,        ,9,0,40,0,0,0,0,2852488,       0,188384,    9741,2664104,    9741,6.6,0.3, 93.4,  0.3,  6.6,  0.3, 93.4,  0.3,Connecticut,                                                                      ,expansion_2014,1,1,1
2023,        ,10,0,40,0,0,0,0,789535,       0,61173,    4704,728362,    4704,7.7,0.6, 92.3,  0.6,  7.7,  0.6, 92.3,  0.6,Delaware,                                                                      ,expansion_2014,1,1,1
2023,        ,11,0,40,0,0,0,0,556205,       0,17853,    2735,538352,    2735,3.2,0.5, 96.8,  0.5,  3.2,  0.5, 96.8,  0.5,District of Columbia,                                                                      ,expansion_2014,1,1,1
2023,        ,12,0,40,0,0,0,0,17276949,       0,2308858,   40592,14968091,   40592,13.4,0.2, 86.6,  0.2, 13.4,  0.2, 86.6,  0.2,Florida,                                                                      ,never_expanded,0,1,0
2023,        ,13,0,40,0,0,0,0,9012394,       0,1195416,   25898,7816978,   25898,13.3,0.3, 86.7,  0.3, 13.3,  0.3, 86.7,  0.3,Georgia,                                                                      ,never_expanded,0,1,0
2023,        ,15,0,40,0,0,0,0,1187669,       0,46117,    3741,1141552,    3741,3.9,0.3, 96.1,  0.3,  3.9,  0.3, 96.1,  0.3,Hawaii,                                                                      ,expansion_2014,1,1,1
2023,        ,17,0,40,0,0,0,0,10114894,       0,739285,   19797,9375609,   19797,7.3,0.2, 92.7,  0.2,  7.3,  0.2, 92.7,  0.2,Illinois,                                                                      ,expansion_2014,1,1,1
2023,        ,19,0,40,0,0,0,0,2552360,       0,150524,    7053,2401836,    7053,5.9,0.3, 94.1,  0.3,  5.9,  0.3, 94.1,  0.3,Iowa,                                                                      ,expansion_2014,1,1,1
2023,        ,20,0,40,0,0,0,0,2374633,       0,233848,    9151,2140785,    9151,9.8,0.4, 90.2,  0.4,  9.8,  0.4, 90.2,  0.4,Kansas,                                                                      ,never_expanded,0,1,0
2023,        ,21,0,40,0,0,0,0,3633986,       0,232072,   10219,3401914,   10219,6.4,0.3, 93.6,  0.3,  6.4,  0.3, 93.6,  0.3,Kentucky,                                                                      ,expansion_2014,1,1,1
2023,        ,24,0,40,0,0,0,0,4982615,       0,355940,   13613,4626675,   13613,7.1,0.3, 92.9,  0.3,  7.1,  0.3, 92.9,  0.3,Maryland,                                                                      ,expansion_2014,1,1,1
2023,        ,25,0,40,0,0,0,0,5536083,       0,167302,    9552,5368781,    9552,3.0,0.2, 97.0,  0.2,  3.0,  0.2, 97.0,  0.2,Massachusetts,                                                                      ,expansion_2014,1,1,1
2023,        ,26,0,40,0,0,0,0,7961158,       0,435242,   13937,7525916,   13937,5.5,0.2, 94.5,  0.2,  5.5,  0.2, 94.5,  0.2,Michigan,                                                                      ,expansion_2014,1,1,1
2023,        ,27,0,40,0,0,0,0,4637854,       0,236406,    8632,4401448,    8632,5.1,0.2, 94.9,  0.2,  5.1,  0.2, 94.9,  0.2,Minnesota,                                                                      ,expansion_2014,1,1,1
2023,        ,28,0,40,0,0,0,0,2304488,       0,287015,   11694,2017473,   11694,12.5,0.5, 87.5,  0.5, 12.5,  0.5, 87.5,  0.5,Mississippi,                                                                      ,never_expanded,0,1,0
2023,        ,32,0,40,0,0,0,0,2618935,       0,335846,   12894,2283089,   12894,12.8,0.5, 87.2,  0.5, 12.8,  0.5, 87.2,  0.5,Nevada,                                                                      ,expansion_2014,1,1,1
2023,        ,34,0,40,0,0,0,0,7493494,       0,635047,   18484,6858447,   18484,8.5,0.2, 91.5,  0.2,  8.5,  0.2, 91.5,  0.2,New Jersey,                                                                      ,expansion_2014,1,1,1
2023,        ,35,0,40,0,0,0,0,1623085,       0,190468,    8851,1432617,    8851,11.7,0.5, 88.3,  0.5, 11.7,  0.5, 88.3,  0.5,New Mexico,                                                                      ,expansion_2014,1,1,1
2023,        ,36,0,40,0,0,0,0,15497430,       0,895540,   23400,14601890,   23400,5.8,0.2, 94.2,  0.2,  5.8,  0.2, 94.2,  0.2,New York,                                                                      ,expansion_2014,1,1,1
